Position (m),Light intensity (%)
0.0164,0.024536713
0.0164,0.024536713
0.0164,0.024536713
0.01629042,0.024536713
0.01623563,0.024536713
0.01618083,0.024536713
0.01612604,0.024536713
0.01585208,0.024536713
0.0157425,0.024536713
0.01563292,0.024536713
0.01552333,0.024536713
0.01541375,0.024536713
0.0153,0.024536713
0.0152,0.024536713
0.015,0.024536713
0.0149,0.024536713
0.0148,0.024536713
0.0147,0.024536713
0.0146,0.024536713
0.0144,0.024536713
0.0144,0.024536713
0.0143,0.024536713
0.0142,0.024536713
0.0141,0.024536713
0.014,0.024536713
0.0138,0.024536713
0.0136,0.024536713
0.0133,0.049073427
0.0132,0.098146853
0.0131,0.098146853
0.013,0.098146853
0.0129,0.07361014
0.0128,0.049073427
0.0127,0.024536713
0.0126,0.024536713
0.0125,0.049073427
0.0123,0.098146853
0.0122,0.14722028
0.0121,0.196293706
0.0119,0.22083042
0.0117,0.171756993
0.0116,0.122683567
0.0115,0.07361014
0.0114,0.024536713
0.0113,0.024536713
0.0112,0.024536713
0.0111,0.049073427
0.011,0.07361014
0.0109,0.14722028
0.0108,0.22083042
0.0108,0.245367133
0.0106,0.269903846
0.0106,0.269903846
0.0105,0.269903846
0.0105,0.245367133
0.0104,0.196293706
0.0104,0.14722028
0.0103,0.098146853
0.0103,0.07361014
0.0102,0.024536713
0.0101,0.024536713
0.01,0.049073427
0.0098,0.14722028
0.0098,0.22083042
0.0097,0.22083042
0.0096,0.22083042
0.0094,0.196293706
0.0092,0.122683567
0.0089,0.049073427
0.0086,0.07361014
0.0083,0.122683567
0.0081,0.098146853
0.0079,0.049073427
0.0077,0.049073427
0.0076,0.024536713
0.0075,0.024536713
0.0073,0.049073427
0.0071,0.07361014
0.007,0.098146853
0.0069,0.098146853
0.0068,0.098146853
0.0068,0.07361014
0.0066,0.049073427
0.0066,0.049073427
0.0065,0.024536713
0.0065,0.049073427
0.0065,0.049073427
0.0064,0.07361014
0.0063,0.098146853
0.0063,0.171756993
0.0062,0.22083042
0.006,0.318977273
0.0059,0.417124127
0.0058,0.44166084
0.0057,0.392587414
0.0056,0.269903846
0.0054,0.122683567
0.0053,0.07361014
0.0051,0.245367133
0.005,0.613417834
0.0049,0.95693182
0.0048,1.17776224
0.0047,1.25137238
0.0046,1.226835667
0.0045,1.128688814
0.0045,0.932395106
0.0043,0.66249126
0.0042,0.29444056
0.0041,0.098146853
0.004,0.098146853
0.004,0.29444056
0.0038,0.80971154
0.0037,1.766643361
0.0036,2.404597906
0.0036,2.478208047
0.0035,2.380061193
0.0034,1.98747378
0.0033,1.39859266
0.0032,0.88332168
0.0031,0.343513987
0.003,0.122683567
0.0029,0.343513987
0.0026,1.4722028
0.0025,3.214309447
0.0024,3.82772728
0.0023,3.557823434
0.0022,2.9444056
0.002,1.570349653
0.0019,0.392587414
0.0018,0.122683567
0.0016,0.368050701
0.0014,1.275909094
0.0014,2.232840913
0.0013,3.214309447
0.0011,4.318461547
0.0009,4.833732527
0.0008,4.024020987
0.0008,3.435139867
0.0006,2.012010494
0.0005,0.269903846
0.0005,0.29444056
0.0004,0.466197554
0.0003,1.275909094
0.0002,3.067089167
0.0001,4.956416094
0,5.349003507
-1.00E-04,4.907342667
-0.0002,3.778653853
-0.0004,2.110157347
-0.0004,0.7361014
-0.0004,0.564344407
-0.0004,0.51527098
-0.0006,0.343513987
-0.0009,1.374055947
-0.0011,4.220314694
-0.0012,4.907342667
-0.0014,4.26938812
-0.0015,2.821722034
-0.0016,1.25137238
-0.0018,0.490734267
-0.002,0.22083042
-0.0021,0.80971154
-0.0022,1.864790214
-0.0023,2.404597906
-0.0023,3.067089167
-0.0024,3.53328672
-0.0026,3.803190567
-0.0027,3.116162593
-0.0029,1.791180074
-0.003,0.490734267
