Position (m),Light intensity (%)
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.0302311,0.1
0.03012152,0.1
0.03012152,0.1
0.03012152,0.1
0.03012152,0.1
0.03006673,0.1
0.03001193,0.1
0.02990235,0.1
0.02979277,0.1
0.02946402,0.1
0.0292311,0.1
0.0288311,0.1
0.0287311,0.1
0.0284311,0.1
0.0282311,0.1
0.0281311,0.1
0.0280311,0.1
0.0279311,0.1
0.0278311,0.1
0.0276311,0.1
0.0274311,0.1
0.0271311,0.1
0.0269311,0.1
0.0267311,0.1
0.0266311,0.1
0.0264311,0.1
0.0261311,0.1
0.0260311,0.1
0.0258311,0.1
0.0256311,0.1
0.0253311,0.1
0.0250311,0.1
0.0247311,0.1
0.0243311,0.1
0.0240311,0.1
0.0237311,0.1
0.0235311,0.1
0.0234311,0.1
0.0232311,0.1
0.0232311,0.1
0.0231311,0.1
0.0229311,0.1
0.0227311,0.1
0.0225311,0.1
0.0223311,0.1
0.0221311,0.1
0.0218311,0.1
0.0214311,0.1
0.0212311,0.1
0.0209311,0.1
0.0207311,0.1
0.0204311,0.1
0.0201311,0.1
0.0199311,0.1
0.0197311,0.1
0.0195311,0.1
0.0193311,0.1
0.0191311,0.1
0.0189311,0.2
0.0189311,0.2
0.0187311,0.2
0.0185311,0.2
0.0182311,0.2
0.0179311,0.2
0.0176311,0.2
0.0173311,0.2
0.0169311,0.1
0.0167311,0.1
0.0165311,0.1
0.0164311,0.1
0.0162311,0.1
0.0161311,0.1
0.0159311,0.1
0.0157311,0.1
0.0156311,0.1
0.0155311,0.1
0.0153311,0.1
0.0151311,0.1
0.0149311,0.1
0.0146311,0.1
0.0144311,0.1
0.0142311,0.1
0.0140311,0.1
0.0139311,0.1
0.0138311,0.1
0.0137311,0.1
0.0136311,0.1
0.0135311,0.1
0.0134311,0.1
0.0131311,0.1
0.0128311,0.1
0.0125311,0.2
0.0122311,0.2
0.0120311,0.2
0.0117311,0.2
0.0114311,0.3
0.0110311,0.3
0.0107311,0.3
0.0104311,0.3
0.0103311,0.3
0.0101311,0.3
0.0100311,0.3
0.0099311,0.3
0.0098311,0.3
0.0097311,0.3
0.0096311,0.3
0.0095311,0.3
0.0094311,0.3
0.0093311,0.2
0.0091311,0.2
0.0088311,0.2
0.0086311,0.2
0.0083311,0.2
0.0080311,0.1
0.0077311,0.1
0.0074311,0.2
0.0071311,0.2
0.0070311,0.2
0.0068311,0.2
0.0066311,0.2
0.0065311,0.3
0.0064311,0.3
0.0062311,0.4
0.0061311,0.4
0.0059311,0.5
0.0058311,0.6
0.0057311,0.7
0.0055311,0.8
0.0054311,0.9
0.0052311,1
0.0049311,1.2
0.0047311,1.5
0.0046311,1.6
0.0044311,1.8
0.0043311,1.9
0.0042311,2
0.0041311,2.1
0.0038311,2.3
0.0036311,2.4
0.0034311,2.6
0.0034311,2.8
0.0033311,2.9
0.0032311,3
0.0031311,3.1
0.0030311,3.3
0.0028311,3.5
0.0026311,3.7
0.0025311,3.9
0.0023311,4.2
0.0021311,4.5
0.0021311,4.6
0.0021311,4.6
0.0020311,4.6
0.0020311,4.7
0.0018311,4.8
0.0017311,4.9
0.0015311,5
0.0013311,5.2
0.0010311,5.3
0.0008311,5.5
0.0007311,5.6
0.0006311,5.6
0.0006311,5.6
0.0005311,5.6
0.0003311,5.6
0.0002311,5.5
0.0002311,5.5
0.0002311,5.5
0.0001311,5.5
3.11E-05,5.6
-0.0001689,5.6
-0.0002689,5.6
-0.0004689,5.5
-0.0006689,5.5
-0.0008689,5.5
-0.0010689,5.3
-0.0013689,5.1
-0.0015689,4.9
-0.0019689,4.5
-0.0022689,4.2
-0.0025689,3.9
-0.0028689,3.7
-0.0029689,3.4
-0.0029689,3.4
-0.0029689,3.3
-0.0030689,3.3
-0.0031689,3.2
-0.0032689,3.1
-0.0032689,3
-0.0032689,3
-0.0032689,3
-0.0035689,2.9
-0.0040689,2.5
-0.0045689,1.7
-0.0047689,1.3
-0.0049689,1.1
-0.0051689,0.9
-0.0054689,0.8
-0.0056689,0.6
-0.0058689,0.5
-0.0059689,0.5
-0.0060689,0.4
-0.0060689,0.4
-0.0060689,0.4
-0.0060689,0.4
-0.0060689,0.4
-0.0061689,0.4
-0.0062689,0.3
-0.0065689,0.3
-0.0066689,0.2
-0.0069689,0.2
-0.0072689,0.1
-0.0075689,0.1
-0.0077689,0.1
-0.0078689,0.1
-0.0081689,0.1
-0.0083689,0.2
-0.0087689,0.2
-0.0090689,0.2
-0.0093689,0.2
-0.0095689,0.3
-0.0096689,0.3
-0.0098689,0.3
-0.0101689,0.3
-0.0105689,0.3
-0.0108689,0.3
-0.0110689,0.3
-0.0113689,0.3
-0.0117689,0.3
-0.0120689,0.3
-0.0121689,0.2
-0.0121689,0.2
-0.0121689,0.2
-0.0121689,0.2
-0.0123689,0.2
-0.0127689,0.2
-0.0131689,0.2
-0.0133689,0.2
-0.0135689,0.1
-0.0136689,0.1
-0.0138689,0.1
-0.0139689,0.1
-0.0139689,0.1
-0.0139689,0.1
-0.0139689,0.1
-0.0139689,0.1
-0.0139689,0.1
-0.0139689,0.1
-0.0139689,0.1
-0.0139689,0.1
